Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts
Mumbai Indians MI,14,9,5,0,0,1.107,2378/262.2,2187/274.5,18
Delhi Capitals DC,14,8,6,0,0,-0.109,2289/278.5,2271/273.0,16
Sunrisers Hyderabad SRH,14,7,7,0,0,0.608,2225/269.3,2125/277.5,14
Royal Challengers Bangalore RCB,14,7,7,0,0,-0.172,2147/272.2,2183/271.0,14
Kolkata Knight Riders KKR,14,7,7,0,0,-0.214,2219/278.0,2206/269.1,14
Kings XI Punjab KXIP,14,6,8,0,0,-0.162,2335/277.5,2343/273.3,12
Chennai Super Kings CSK,14,6,8,0,0,-0.455,2191/274.3,2275/269.4,12
Rajasthan Royals RR,14,6,8,0,0,-0.569,2288/272.4,2482/277.0,12
