Player_Name,Country,Playing_Role,Status,Before,After,Salary
Daniel Sams,Australia,All Rounder,Transfer,DC,RCB,20
Harshal Patel,India,Bowler,Transfer,DC,RCB,20
Robin Uthappa,India,Batsman,Transfer,RR,CSK,300
